area,bedrooms,bathrooms,location_score,price
1000,2,1,5,150000
1200,2,1,6,175000
1500,3,2,7,225000
1800,3,2,8,275000
2000,4,2,7,300000
2200,4,3,8,350000
2500,4,3,9,400000
2800,5,3,8,425000
3000,5,4,9,475000
3200,5,4,10,525000
850,1,1,4,120000
950,2,1,5,140000
1100,2,1,6,165000
1350,3,2,6,200000
1600,3,2,7,240000
1900,4,2,8,290000
2100,4,3,8,330000
2400,4,3,9,380000
2700,5,3,9,440000
3100,5,4,10,500000
900,1,1,3,110000
1050,2,1,4,155000
1250,2,2,5,185000
1450,3,2,6,215000
1700,3,2,7,260000
2050,4,3,8,320000
2300,4,3,9,365000
2600,5,3,9,410000
2900,5,4,10,460000
3300,6,4,10,550000
1150,2,1,5,170000
1400,3,2,6,210000
1750,3,2,7,265000
2150,4,3,8,340000
2450,4,3,9,390000
2750,5,3,9,435000
3050,5,4,10,490000
800,1,1,3,105000
1300,2,2,5,190000
1550,3,2,6,230000
